Reading_ID,Moisture_pct,Soil_Temp_C,EC_Conductivity_dS_m,pH_Level,Fault_Status
SOIL_00536,55.33,124.77,0.85,5.35,1
SOIL_00537,70.46,27.29,1.59,7.77,0
SOIL_00538,0.0,33.18,1.77,5.27,0
SOIL_00539,49.19,23.27,2.08,7.16,0
SOIL_00540,60.95,19.56,1.41,6.37,0
SOIL_00541,65.09,17.64,0.96,6.52,0
SOIL_00542,66.9,20.88,1.98,-7.25,1
SOIL_00543,61.67,27.11,3.49,6.11,0
SOIL_00544,-114.72,18.38,2.8,7.14,1
SOIL_00545,53.27,25.58,2.63,5.61,0
SOIL_00546,-9.25,15.49,1.54,6.1,1
SOIL_00547,67.74,21.89,1.27,7.35,0
SOIL_00548,33.0,12.7,2.33,6.03,0
SOIL_00549,64.18,-7.23,2.68,6.52,1
SOIL_00550,69.41,30.87,1.62,6.59,0
SOIL_00551,29.17,23.56,1.39,5.8,0
SOIL_00552,44.62,21.2,1.42,6.84,0
SOIL_00553,39.85,23.62,1.95,6.44,0
SOIL_00554,0.0,25.09,1.75,5.86,1
SOIL_00555,37.63,23.95,1.81,7.01,0
SOIL_00556,33.67,23.37,2.67,6.62,0
SOIL_00557,64.65,16.02,2.41,6.44,0
SOIL_00558,23.31,13.13,1.68,6.25,0
SOIL_00559,48.34,26.36,1.8,5.33,0
SOIL_00560,31.88,14.15,2.51,6.38,0
SOIL_00561,64.64,24.19,2.17,4.72,0
SOIL_00562,33.99,28.05,2.95,7.09,0
SOIL_00563,45.66,15.82,2.27,5.58,0
SOIL_00564,1.96,18.06,1.98,6.93,0
SOIL_00565,45.03,21.08,1.46,3.5,1
SOIL_00566,41.82,16.68,0.7,5.46,0
SOIL_00567,46.29,16.58,2.54,3.5,1
SOIL_00568,68.43,18.8,2.55,7.99,0
SOIL_00569,55.77,17.37,2.75,0.77,1
SOIL_00570,52.12,24.92,0.95,7.84,0
SOIL_00571,31.7,22.47,2.07,6.87,0
SOIL_00572,83.47,13.32,1.33,6.29,0
SOIL_00573,11.91,32.37,1.73,6.64,0
SOIL_00574,23.46,20.21,0.71,6.77,0
SOIL_00575,31.24,21.58,1.32,6.86,0
SOIL_00576,48.42,18.86,-1.49,7.56,1
SOIL_00577,45.78,21.93,2.08,6.57,0
SOIL_00578,31.42,16.56,2.32,6.99,0
SOIL_00579,48.17,13.88,2.91,8.07,0
SOIL_00580,65.85,20.01,1.72,17.85,1
SOIL_00581,46.0,30.61,1.47,6.41,0
SOIL_00582,22.33,25.38,2.04,7.14,0
SOIL_00583,43.13,29.31,2.01,5.39,0
SOIL_00584,30.28,18.55,1.02,5.72,0
SOIL_00585,19.84,17.1,0.95,5.75,0
SOIL_00586,45.7,18.91,3.4,6.81,0
SOIL_00587,28.72,25.08,1.99,6.92,0
SOIL_00588,39.05,28.12,2.36,5.79,0
SOIL_00589,52.6,20.34,2.2,6.84,0
SOIL_00590,50.77,13.57,2.13,5.98,0
SOIL_00591,66.69,27.84,2.69,7.5,0
SOIL_00592,14.03,28.66,3.37,6.91,0
SOIL_00593,41.32,25.07,2.19,7.09,0
SOIL_00594,63.21,30.57,1.88,7.77,0
SOIL_00595,14.77,10.5,2.51,7.05,0
SOIL_00596,41.93,16.46,1.64,6.04,0
SOIL_00597,48.61,22.12,0.96,6.6,0
SOIL_00598,25.26,15.65,2.26,5.45,0
SOIL_00599,32.83,27.5,1.17,5.62,0
SOIL_00600,23.59,14.94,1.25,6.98,0
SOIL_00601,50.02,30.07,0.91,7.84,0
SOIL_00602,0.01,16.91,0.04,7.36,0
SOIL_00603,31.22,30.4,0.88,6.77,0
SOIL_00604,32.04,17.05,1.88,5.3,0
SOIL_00605,61.34,7.82,2.64,6.61,0
SOIL_00606,16.89,,1.43,5.7,1
SOIL_00607,68.34,26.09,1.31,6.81,0
SOIL_00608,58.45,15.77,1.76,5.44,0
SOIL_00609,63.81,31.51,1.75,6.63,0
SOIL_00610,37.32,30.21,1.76,6.09,0
SOIL_00611,37.44,20.94,2.54,6.57,0
SOIL_00612,30.84,23.91,1.58,6.08,0
SOIL_00613,55.45,22.09,1.46,5.25,0
SOIL_00614,38.67,25.93,0.1,7.32,1
SOIL_00615,-64.99,27.11,2.26,6.26,1
SOIL_00616,38.63,12.06,3.8,6.15,0
SOIL_00617,51.68,32.06,3.02,6.39,0
SOIL_00618,22.26,29.12,1.97,5.98,0
SOIL_00619,27.88,15.72,1.44,5.97,0
SOIL_00620,69.3,30.71,-3.41,7.65,1
SOIL_00621,28.68,33.47,1.33,6.57,0
SOIL_00622,71.05,,1.95,6.15,1
SOIL_00623,35.51,26.12,2.03,5.17,0
SOIL_00624,20.6,-3.37,2.23,6.09,1
SOIL_00625,69.67,-54.37,0.42,5.72,1
SOIL_00626,76.42,29.02,1.19,6.16,0
SOIL_00627,100.51,23.2,2.82,7.72,1
SOIL_00628,64.67,,1.03,7.65,1
SOIL_00629,46.86,10.6,1.26,6.29,0
SOIL_00630,47.84,18.06,1.57,5.95,0
SOIL_00631,50.65,29.59,2.79,6.96,0
SOIL_00632,45.36,17.82,2.26,7.39,0
SOIL_00633,46.84,21.66,1.61,6.28,0
SOIL_00634,45.11,15.22,1.48,8.12,0
SOIL_00635,34.63,18.02,1.32,6.07,0
SOIL_00636,32.26,24.03,0.92,6.21,0
SOIL_00637,24.31,21.17,1.23,6.37,0
SOIL_00638,11.06,11.09,3.03,6.23,0
SOIL_00639,43.36,17.46,0.1,5.58,1
SOIL_00640,29.83,30.36,1.56,7.12,0
SOIL_00641,15.52,28.42,1.45,6.27,0
SOIL_00642,30.2,5.0,2.6,8.22,1
SOIL_00643,35.44,24.02,1.38,7.12,0
SOIL_00644,35.11,18.12,2.27,6.76,0
SOIL_00645,70.07,30.31,1.03,8.05,0
SOIL_00646,34.29,20.42,1.92,7.07,0
SOIL_00647,71.02,14.61,1.47,7.05,0
SOIL_00648,31.48,11.79,2.12,5.97,0
SOIL_00649,53.68,-71.41,2.7,6.31,1
SOIL_00650,26.99,17.24,0.1,7.3,1
SOIL_00651,75.88,31.88,1.05,12.38,1
SOIL_00652,67.06,38.04,1.59,6.02,0
SOIL_00653,58.48,28.41,2.74,8.37,0
SOIL_00654,80.6,11.54,1.89,6.34,0
SOIL_00655,60.66,15.31,1.75,7.44,0
SOIL_00656,52.89,15.34,2.61,6.71,0
SOIL_00657,20.61,20.28,2.16,6.86,0
SOIL_00658,2.59,16.95,3.42,6.23,0
SOIL_00659,21.7,25.74,1.04,6.66,0
SOIL_00660,14.64,20.29,,5.26,1
SOIL_00661,30.6,27.25,0.83,7.38,0
SOIL_00662,64.7,25.57,1.04,7.1,0
SOIL_00663,25.8,29.86,2.72,7.99,0
SOIL_00664,36.68,17.62,1.17,6.56,0
SOIL_00665,46.02,27.72,2.9,5.7,0
SOIL_00666,46.66,17.48,1.02,7.7,0
SOIL_00667,34.32,21.67,1.74,6.29,0
SOIL_00668,66.39,16.99,0.96,3.64,0
SOIL_00669,45.44,24.13,2.26,6.9,0
SOIL_00670,48.07,29.95,1.94,7.25,0
SOIL_00671,89.56,29.02,2.68,7.48,0
SOIL_00672,76.27,24.16,2.39,5.78,0
SOIL_00673,45.34,21.16,1.89,6.91,0
SOIL_00674,54.84,21.89,6.22,6.96,1
SOIL_00675,28.41,31.17,0.91,6.99,0
SOIL_00676,7.4,16.95,2.07,6.02,0
SOIL_00677,57.27,24.8,1.73,6.78,0
SOIL_00678,25.97,28.75,2.26,7.39,0
SOIL_00679,55.16,21.95,2.32,5.0,0
SOIL_00680,83.66,27.56,1.35,6.49,0
SOIL_00681,11.23,35.3,1.29,,1
SOIL_00682,3.98,21.45,1.85,7.79,0
SOIL_00683,-69.34,20.47,1.62,7.74,1
SOIL_00684,59.58,23.33,0.78,7.26,0
SOIL_00685,67.51,24.94,1.1,7.99,0
SOIL_00686,59.56,30.0,2.55,7.28,0
SOIL_00687,50.18,29.55,2.11,4.64,0
SOIL_00688,0.0,23.98,1.78,6.14,1
SOIL_00689,47.23,10.2,2.68,7.64,0
SOIL_00690,66.31,13.3,1.76,6.09,0
SOIL_00691,33.4,27.82,2.29,7.54,0
SOIL_00692,45.75,18.22,1.77,7.12,0
SOIL_00693,24.22,28.26,1.84,8.01,0
SOIL_00694,151.14,26.95,4.0,6.15,1
SOIL_00695,45.33,20.89,1.31,5.03,0
SOIL_00696,91.56,17.05,2.19,6.33,0
SOIL_00697,18.4,20.98,2.17,5.36,0
SOIL_00698,61.87,23.22,2.6,6.13,0
SOIL_00699,35.78,110.66,1.75,4.27,1
SOIL_00700,59.84,27.57,3.2,6.51,0
SOIL_00701,58.48,26.21,1.55,6.85,0
SOIL_00702,39.79,23.12,1.49,6.89,0
SOIL_00703,26.43,54.14,2.39,7.29,1
SOIL_00704,25.98,30.53,2.66,6.76,0
SOIL_00705,46.89,17.61,0.93,5.98,0
SOIL_00706,31.99,19.86,1.26,7.5,0
SOIL_00707,40.86,22.37,1.92,7.07,0
SOIL_00708,0.0,18.52,2.22,6.45,1
SOIL_00709,54.14,21.23,2.74,6.41,0
SOIL_00710,28.93,12.55,1.88,6.0,0
SOIL_00711,37.5,19.72,2.61,7.53,0
SOIL_00712,68.69,21.28,0.54,6.53,0
SOIL_00713,47.67,17.51,0.96,7.21,0
SOIL_00714,58.6,29.77,1.79,4.9,0
SOIL_00715,27.81,24.62,2.53,6.62,0
SOIL_00716,0.0,21.34,1.57,6.73,1
SOIL_00717,52.76,18.41,1.6,5.57,0
SOIL_00718,27.62,12.76,2.07,5.91,0
SOIL_00719,279.67,17.91,1.64,7.1,1
SOIL_00720,37.42,22.4,2.78,6.98,0
SOIL_00721,49.9,21.57,1.87,6.74,0
SOIL_00722,21.18,17.5,3.52,7.54,0
SOIL_00723,26.11,32.03,1.91,6.96,0
SOIL_00724,19.92,28.58,1.53,7.62,0
SOIL_00725,24.29,19.37,1.86,5.78,0
SOIL_00726,33.74,25.51,2.57,6.69,0
SOIL_00727,54.23,29.78,1.68,6.58,0
SOIL_00728,46.66,24.09,-0.17,5.53,0
SOIL_00729,46.6,21.0,1.47,7.92,0
SOIL_00730,27.43,11.12,0.18,6.13,0
SOIL_00731,44.6,21.6,2.16,6.81,0
SOIL_00732,67.62,17.46,1.02,6.11,0
SOIL_00733,119.81,18.44,1.83,7.41,1
SOIL_00734,59.59,20.08,0.77,6.3,0
SOIL_00735,35.9,20.68,1.74,6.29,0
SOIL_00736,36.37,19.74,1.92,6.52,0
SOIL_00737,54.39,13.99,1.45,6.57,0
SOIL_00738,28.11,11.51,1.77,6.06,0
SOIL_00739,42.83,,0.62,5.88,1
SOIL_00740,48.36,32.19,1.83,6.07,0
SOIL_00741,37.97,22.63,1.35,6.38,0
SOIL_00742,29.79,15.43,1.86,6.72,0
SOIL_00743,33.3,27.94,,6.17,1
SOIL_00744,20.2,34.43,1.63,5.59,0
SOIL_00745,49.99,29.28,1.49,5.53,0
SOIL_00746,60.02,30.07,1.99,5.77,0
SOIL_00747,35.91,14.99,2.97,6.76,0
SOIL_00748,94.28,18.62,1.71,7.2,0
SOIL_00749,31.35,29.24,2.18,5.62,0
SOIL_00750,31.65,14.75,2.9,6.84,0
SOIL_00751,58.85,18.68,2.08,6.8,0
SOIL_00752,56.18,23.13,2.33,7.97,0
SOIL_00753,57.06,25.23,1.2,8.36,0
SOIL_00754,64.28,20.35,2.05,7.35,0
SOIL_00755,28.23,22.06,2.05,,1
SOIL_00756,51.71,22.99,3.04,6.93,0
SOIL_00757,19.81,20.64,0.93,5.91,0
SOIL_00758,64.18,18.99,3.32,5.58,0
SOIL_00759,62.92,21.27,2.6,5.25,0
SOIL_00760,63.78,18.75,2.48,6.63,0
SOIL_00761,44.05,27.36,1.0,5.9,0
SOIL_00762,63.49,23.83,1.17,7.14,0
SOIL_00763,48.02,21.56,2.24,5.6,0
SOIL_00764,69.9,,0.34,6.7,1
SOIL_00765,39.44,28.26,0.75,5.89,0
SOIL_00766,39.19,19.79,2.36,5.4,0
SOIL_00767,52.7,26.35,2.63,5.85,0
SOIL_00768,22.28,29.11,3.3,5.98,0
SOIL_00769,40.74,24.95,1.57,6.48,0
SOIL_00770,44.08,12.32,,6.02,1
SOIL_00771,20.94,19.46,1.26,5.76,0
SOIL_00772,46.78,16.87,2.12,5.86,0
SOIL_00773,53.9,14.83,1.66,3.51,0
SOIL_00774,60.05,28.55,0.85,6.2,0
SOIL_00775,18.04,24.27,2.17,6.53,0
SOIL_00776,63.24,6.61,1.08,6.16,0
SOIL_00777,7.62,21.93,2.32,6.66,0
SOIL_00778,28.68,18.02,2.29,7.27,0
SOIL_00779,81.75,27.56,1.59,7.35,0
SOIL_00780,47.77,18.04,2.0,7.28,0
SOIL_00781,26.19,23.9,1.6,3.5,1
SOIL_00782,20.48,23.83,1.75,5.76,0
SOIL_00783,22.21,17.07,0.9,6.05,0
SOIL_00784,27.95,15.96,-0.58,6.98,0
SOIL_00785,62.54,34.16,1.71,6.75,0
SOIL_00786,54.86,24.35,1.1,5.89,0
SOIL_00787,64.21,22.3,1.2,7.36,0
SOIL_00788,25.95,29.26,1.16,5.61,0
SOIL_00789,9.13,32.54,2.47,6.08,0
SOIL_00790,56.5,31.01,2.55,6.67,0
SOIL_00791,43.85,13.75,2.04,7.17,0
SOIL_00792,30.67,22.2,1.57,7.43,0
SOIL_00793,62.92,20.34,2.03,6.74,0
SOIL_00794,68.37,33.37,2.57,-6.0,1
SOIL_00795,76.03,26.27,2.96,7.35,0
SOIL_00796,26.44,14.23,1.27,5.67,0
SOIL_00797,67.13,10.95,0.74,6.12,0
SOIL_00798,52.01,31.73,2.02,5.71,0
SOIL_00799,33.79,21.93,0.54,6.43,0
SOIL_00800,66.77,21.77,1.99,5.68,0
SOIL_00801,29.07,19.94,1.96,6.88,0
SOIL_00802,33.7,17.01,1.71,6.83,0
SOIL_00803,61.26,22.24,3.05,7.1,0
SOIL_00804,33.92,26.84,1.85,6.73,0
SOIL_00805,52.31,21.83,2.19,6.68,0
SOIL_00806,36.02,28.28,2.61,5.72,0
SOIL_00807,48.13,26.13,1.75,5.96,0
SOIL_00808,49.43,27.42,1.52,6.42,0
SOIL_00809,27.75,23.1,1.55,6.49,0
SOIL_00810,48.73,21.02,2.1,6.23,0
SOIL_00811,35.53,15.1,2.03,6.95,0
SOIL_00812,27.79,27.91,3.0,8.35,0
SOIL_00813,24.95,23.54,1.36,6.82,0
SOIL_00814,25.15,20.47,1.64,5.96,0
SOIL_00815,34.08,15.18,2.47,7.13,0
SOIL_00816,55.34,29.61,2.26,6.0,0
SOIL_00817,20.45,21.92,1.76,6.78,0
SOIL_00818,46.5,33.3,1.66,6.88,0
SOIL_00819,51.75,9.57,1.45,6.68,0
SOIL_00820,63.01,23.88,1.17,6.03,0
SOIL_00821,35.19,5.0,1.78,6.56,1
SOIL_00822,47.93,17.61,2.21,6.1,0
SOIL_00823,24.2,20.34,2.06,6.09,0
SOIL_00824,21.56,25.75,1.74,5.18,0
SOIL_00825,51.52,23.63,2.02,6.4,0
SOIL_00826,82.24,18.71,1.13,8.23,0
SOIL_00827,56.89,17.99,2.2,4.5,0
SOIL_00828,23.12,11.71,0.8,4.72,0
SOIL_00829,24.7,18.33,1.98,6.55,0
SOIL_00830,56.09,17.54,2.21,7.1,0
SOIL_00831,57.97,29.14,1.87,5.42,0
SOIL_00832,45.99,19.61,1.8,6.67,0
SOIL_00833,41.21,19.66,1.06,6.37,0
SOIL_00834,54.4,5.0,1.77,6.02,1
SOIL_00835,26.44,30.2,3.19,6.81,0
SOIL_00836,63.49,30.08,1.75,5.69,0
SOIL_00837,51.37,36.35,1.61,7.31,0
SOIL_00838,30.48,13.6,0.67,4.97,0
SOIL_00839,43.48,22.98,2.06,6.43,0
SOIL_00840,100.0,21.38,2.11,6.59,0
SOIL_00841,39.72,11.06,1.47,6.37,0
SOIL_00842,55.13,15.0,1.63,6.09,0
SOIL_00843,60.02,27.46,0.87,7.0,0
SOIL_00844,48.46,25.16,1.89,6.17,0
SOIL_00845,168.07,25.11,2.15,5.29,1
SOIL_00846,31.9,24.68,0.1,5.95,1
SOIL_00847,41.86,11.89,1.77,6.58,0
SOIL_00848,42.43,15.41,3.01,6.06,0
SOIL_00849,67.95,18.78,1.91,6.24,0
SOIL_00850,73.8,26.98,2.14,7.12,0
SOIL_00851,77.6,22.79,2.54,6.02,0
SOIL_00852,38.68,27.43,2.2,6.42,0
SOIL_00853,63.89,33.74,1.55,6.34,0
SOIL_00854,50.03,12.47,0.67,7.36,0
SOIL_00855,25.58,21.28,3.69,6.54,0
SOIL_00856,18.29,21.31,2.32,7.14,0
SOIL_00857,39.19,17.03,2.39,5.92,0
SOIL_00858,42.44,24.64,2.53,7.9,0
SOIL_00859,28.9,39.13,2.58,7.16,0
SOIL_00860,67.26,16.31,2.36,7.83,0
SOIL_00861,71.78,25.61,1.82,6.66,0
SOIL_00862,41.64,15.73,1.58,6.02,0
SOIL_00863,72.55,11.17,2.31,6.32,0
SOIL_00864,52.66,18.32,1.9,6.67,0
SOIL_00865,9.68,23.64,1.88,6.66,0
SOIL_00866,8.44,24.39,2.49,6.17,0
SOIL_00867,51.14,32.66,3.27,6.49,0
SOIL_00868,42.22,23.67,1.14,6.7,0
SOIL_00869,28.22,22.08,2.14,5.85,0
SOIL_00870,52.86,27.0,1.1,6.21,0
SOIL_00871,84.39,-11.34,1.94,7.57,1
SOIL_00872,46.28,21.86,0.62,7.46,0
SOIL_00873,37.37,20.92,1.31,5.86,0
SOIL_00874,32.39,25.82,1.81,8.02,0
SOIL_00875,23.68,25.17,2.55,5.86,0
SOIL_00876,59.66,20.41,0.76,6.83,0
SOIL_00877,37.32,30.65,2.1,7.56,0
SOIL_00878,42.53,27.05,1.77,5.86,0
SOIL_00879,37.64,27.77,2.82,5.6,0
SOIL_00880,73.88,16.52,1.52,6.89,0
SOIL_00881,19.44,18.92,2.1,6.44,0
SOIL_00882,57.34,31.1,1.69,6.22,0
SOIL_00883,60.66,28.24,1.12,5.42,0
SOIL_00884,31.71,13.51,1.4,7.55,0
SOIL_00885,55.91,24.01,1.27,6.7,0
SOIL_00886,41.94,27.75,0.58,7.05,0
SOIL_00887,59.66,15.84,2.88,7.43,0
SOIL_00888,27.55,28.06,1.55,5.11,0
SOIL_00889,49.85,22.31,2.13,3.5,1
SOIL_00890,46.31,31.03,1.03,5.29,0
SOIL_00891,54.76,21.23,1.83,7.1,0
SOIL_00892,2.13,,2.15,7.58,1
SOIL_00893,32.07,25.17,1.86,3.5,1
SOIL_00894,147.49,15.26,1.22,6.44,1
SOIL_00895,76.52,18.56,2.37,6.96,0
SOIL_00896,0.0,11.1,0.37,6.88,1
SOIL_00897,52.27,17.15,0.7,6.32,0
SOIL_00898,29.74,30.06,1.72,7.07,0
SOIL_00899,50.37,22.88,0.12,6.31,0
SOIL_00900,55.54,20.61,1.25,6.75,0
SOIL_00901,77.06,16.74,1.47,5.5,0
SOIL_00902,29.07,23.24,2.86,7.42,0
SOIL_00903,38.18,20.67,1.34,5.8,0
SOIL_00904,81.19,36.34,1.43,6.75,0
SOIL_00905,41.42,22.13,0.51,5.6,0
SOIL_00906,53.83,24.72,1.85,6.15,0
SOIL_00907,25.93,18.19,1.81,3.5,1
SOIL_00908,-158.43,21.9,1.04,6.92,1
SOIL_00909,50.85,24.78,2.44,7.68,0
SOIL_00910,38.15,16.47,2.39,5.89,0
SOIL_00911,48.26,25.56,1.41,5.77,0
SOIL_00912,49.6,22.78,0.45,7.33,0
SOIL_00913,46.28,8.34,1.05,5.93,0
SOIL_00914,31.51,26.94,2.87,8.36,0
SOIL_00915,59.91,24.93,1.9,5.65,0
SOIL_00916,48.26,23.43,1.26,7.08,0
SOIL_00917,33.02,18.19,2.76,5.27,0
SOIL_00918,30.5,36.79,1.67,5.69,0
SOIL_00919,26.45,18.47,1.81,5.72,0
SOIL_00920,66.69,4.06,3.47,12.09,1
SOIL_00921,-61.99,25.1,2.44,7.16,1
SOIL_00922,28.62,21.19,1.6,6.47,0
SOIL_00923,27.2,13.34,2.06,7.41,0
SOIL_00924,9.2,20.48,2.19,3.74,1
SOIL_00925,84.67,21.6,2.38,5.71,0
SOIL_00926,46.6,17.47,1.07,6.41,0
SOIL_00927,29.06,22.66,2.94,7.48,0
SOIL_00928,38.81,24.13,2.8,5.82,0
SOIL_00929,22.38,21.72,11.15,6.96,1
SOIL_00930,48.32,16.46,1.79,18.61,1
SOIL_00931,42.27,24.81,1.85,5.74,0
SOIL_00932,65.04,12.29,1.91,6.26,0
SOIL_00933,32.42,72.43,2.34,5.61,1
SOIL_00934,51.51,23.85,1.57,7.49,0
SOIL_00935,45.33,20.7,2.1,4.24,0
SOIL_00936,244.29,18.94,2.24,6.92,1
SOIL_00937,51.47,14.63,2.15,6.91,0
SOIL_00938,43.56,18.81,2.13,6.13,0
SOIL_00939,62.92,17.12,5.64,4.9,1
SOIL_00940,52.24,15.95,1.95,6.86,0
SOIL_00941,36.37,14.77,0.46,6.14,0
SOIL_00942,61.0,29.88,1.09,6.0,0
SOIL_00943,50.21,26.58,0.89,7.45,0
SOIL_00944,35.64,36.65,1.05,7.67,0
SOIL_00945,62.04,23.42,1.11,6.09,0
SOIL_00946,60.61,26.32,2.53,5.88,0
SOIL_00947,28.73,21.57,2.73,4.3,0
SOIL_00948,31.9,31.07,2.25,5.22,0
SOIL_00949,47.23,21.69,1.1,5.87,0
SOIL_00950,38.63,27.85,1.15,7.36,0
SOIL_00951,39.19,23.11,1.35,6.86,0
SOIL_00952,30.7,33.04,1.29,18.66,1
SOIL_00953,48.1,19.11,2.72,0.58,1
SOIL_00954,49.0,28.89,0.85,6.5,0
SOIL_00955,19.23,21.35,2.02,6.58,0
SOIL_00956,38.05,16.98,0.91,6.93,0
SOIL_00957,34.86,21.69,2.15,6.32,0
SOIL_00958,49.99,8.51,1.53,6.75,0
SOIL_00959,55.29,27.61,1.01,6.79,0
SOIL_00960,58.02,26.0,1.41,6.69,0
SOIL_00961,38.34,33.39,2.15,6.05,0
SOIL_00962,54.63,16.23,0.66,7.57,0
SOIL_00963,17.99,17.54,1.36,7.56,0
SOIL_00964,68.98,14.42,1.67,5.49,0
SOIL_00965,32.49,24.19,0.84,4.88,0
SOIL_00966,20.75,19.51,1.13,6.15,0
SOIL_00967,32.6,17.05,2.82,5.86,0
SOIL_00968,71.04,24.4,0.87,5.18,0
SOIL_00969,56.43,28.61,1.43,6.2,0
SOIL_00970,77.23,22.64,2.14,7.64,0
SOIL_00971,50.42,19.13,1.75,6.87,0
SOIL_00972,69.43,29.03,1.4,7.16,0
SOIL_00973,38.55,20.48,2.35,7.56,0
SOIL_00974,21.47,20.39,0.35,7.12,0
SOIL_00975,51.59,25.08,2.29,6.37,0
SOIL_00976,46.34,17.89,1.14,7.43,0
SOIL_00977,54.01,28.15,0.01,5.86,0
SOIL_00978,59.98,16.49,3.31,5.28,0
SOIL_00979,0.0,18.34,1.83,7.62,1
SOIL_00980,43.29,15.08,2.34,7.73,0
SOIL_00981,44.12,27.18,2.55,6.17,0
SOIL_00982,53.67,30.13,1.15,6.07,0
SOIL_00983,18.66,21.08,1.62,6.95,0
SOIL_00984,32.36,24.68,1.78,5.62,0
SOIL_00985,241.45,24.2,1.31,6.31,1
SOIL_00986,36.41,23.78,2.63,6.69,0
SOIL_00987,57.2,15.05,2.73,5.95,0
SOIL_00988,37.91,18.07,1.71,7.38,0
SOIL_00989,41.32,26.56,2.15,6.71,0
SOIL_00990,5.91,29.3,2.4,6.39,0
SOIL_00991,56.23,27.69,2.0,7.29,0
SOIL_00992,35.33,22.1,1.4,6.62,0
SOIL_00993,8.43,26.81,0.06,5.93,0
SOIL_00994,19.72,12.78,1.87,7.51,0
SOIL_00995,46.96,9.88,2.36,6.48,0
SOIL_00996,32.63,13.75,1.14,3.84,0
SOIL_00997,30.37,38.93,1.92,6.72,0
SOIL_00998,37.22,34.47,2.11,4.96,0
SOIL_00999,0.0,12.42,2.12,8.17,0
SOIL_01000,15.93,20.66,1.89,6.79,0
